展示编号,选择排序,case_name,node_index,target_rmises,pred_rmises,node_label,x,y,z,RMises_native,abs_error,relative_error,pred_target_ratio,target_rank,target_rank_fraction,relative_error_for_color
代表样本 1,1,case843_mises_full_export,111,13873.988436496638,10579.627218116746,112,84.3878173828125,-70.55987548828125,10.0,13911.950412326389,3294.3612183798923,0.2374487504771022,0.7625512495228978,1867,0.1399865037114793,0.2374487504771022
代表样本 1,1,case843_mises_full_export,5567,13873.400821128957,13433.648666304234,5568,-109.38153839111328,-43.13068389892578,7.5,13260.45521763393,439.7521548247223,0.0316975023279791,0.9683024976720208,1868,0.1400614830921496,0.0316975023279791
代表样本 1,1,case843_mises_full_export,4987,13861.323472157796,12252.549038764217,4988,-85.18344116210938,-69.74581909179688,8.787467002868652,11542.680078125,1608.7744333935807,0.1160621088328979,0.8839378911671021,1869,0.1401364624728199,0.1160621088328979
代表样本 1,1,case843_mises_full_export,24923,13852.459017972047,12488.649723442684,24924,2.7043821811676025,67.05331420898438,15.0,15116.937174479166,1363.8092945293647,0.0984525052743322,0.9015474947256678,1870,0.1402114418534903,0.0984525052743322
代表样本 1,1,case843_mises_full_export,505,13845.2472907782,14046.84743020098,506,116.13119506835938,-54.20374298095703,10.0,13878.977498372396,201.60013942278056,0.0145609634258435,1.0145609634258437,1871,0.1402864212341606,0.0145609634258435
代表样本 1,1,case843_mises_full_export,4353,13837.732558221953,14953.833913813822,4354,106.74129486083984,-46.415565490722656,5.0,13943.527587890623,1116.1013555918707,0.080656375666743,1.080656375666743,1872,0.1403614006148309,0.080656375666743
代表样本 1,1,case843_mises_full_export,4604,13837.526707839885,15315.703431612465,4605,109.4874267578125,-36.505332946777344,10.0,14949.572265625,1478.17672377258,0.1068237666298482,1.1068237666298482,1873,0.1404363799955012,0.1068237666298482
代表样本 1,1,case843_mises_full_export,4536,13830.285951410697,15557.99644277351,4537,104.4416046142578,-62.95651245117188,10.0,13714.190755208334,1727.7104913628136,0.1249222537720983,1.1249222537720984,1874,0.1405113593761715,0.1249222537720983
代表样本 1,1,case843_mises_full_export,22598,13825.851506941312,12711.67648544428,22599,62.511680603027344,-28.9604606628418,15.0,14959.516276041666,1114.175021497031,0.0805863581666312,0.9194136418333688,1875,0.1405863387568418,0.0805863581666312
代表样本 1,1,case843_mises_full_export,20965,13825.0766370192,12776.112087996524,20966,3.4214072227478027,67.03572845458984,0.0,14982.616861979166,1048.9645490226776,0.0758740494945164,0.9241259505054836,1876,0.1406613181375121,0.0758740494945164
代表样本 1,1,case843_mises_full_export,112,13822.38607992706,11974.27531055993,113,86.88192749023438,-67.46502685546875,10.0,13031.746892755682,1848.1107693671293,0.1337041780399236,0.8662958219600764,1877,0.1407362975181825,0.1337041780399236
代表样本 1,1,case843_mises_full_export,5149,13805.60898029826,12774.851654631786,5150,-83.38878631591797,-73.83154296875,8.710769653320312,11425.896362304688,1030.7573256664728,0.074662213534908,0.925337786465092,1878,0.1408112768988528,0.074662213534908
代表样本 1,1,case843_mises_full_export,5181,13805.348245691426,15912.32639715914,5182,-107.62423706054688,-63.47411346435547,9.022278785705566,14175.076171875,2106.9781514677143,0.1526204275307064,1.1526204275307066,1879,0.1408862562795231,0.1526204275307064
代表样本 1,1,case843_mises_full_export,19594,13803.489829708762,12299.107571416384,19595,58.46798706054688,-29.236835479736328,0.0,14602.8310546875,1504.3822582923783,0.1089856461555504,0.8910143538444495,1880,0.1409612356601934,0.1089856461555504
代表样本 1,1,case843_mises_full_export,4456,13796.174746069206,16154.681877507124,4457,103.73446655273438,-64.38041687011719,5.0,14039.158854166666,2358.5071314379184,0.1709537009242291,1.1709537009242292,1881,0.1410362150408637,0.1709537009242291
代表样本 1,1,case843_mises_full_export,5356,13785.29982983012,16184.180044276764,5357,-110.63792419433594,-46.16221618652344,10.0,13401.932983398438,2398.8802144466445,0.1740172679636382,1.1740172679636385,1882,0.141111194421534,0.1740172679636382
代表样本 1,1,case843_mises_full_export,4214,13784.013723214865,10743.447639394564,4215,116.6895751953125,-79.15692901611328,5.0,14497.06640625,3040.5660838202984,0.2205864086379582,0.7794135913620417,1883,0.1411861738022043,0.2205864086379582
